Model Number,Name,Coast Appliances Price,Home Depot Price,Lowes Price,Trail Appliaces Price
B3007ECO                      ,AEG - 120 Litre Single Wall Oven in Stainless                                                       ,2794.98,0,0,0
DWVFI                         ,Porter & Charles - 47 dBA Built In Dishwasher in Panel Ready                                        ,1194.98,0,0,0
WMC10007AW                    ,Whirlpool - 0.7 cu. Ft  Counter top Microwave in White                                              ,149.96,0,0,0
ETB430S2                      ,Elica - 30 Inch 400 CFM Wall Mount and Chimney Range Vent in Stainless                              ,879.96,0,0,0
HEZ8LLUC                      ,Bosch -  Range Legs in Black Stainless                                                              ,159.98,0,0,0
KSM150PSVB                    ,KitchenAid - 5 Quarts Tilt-Head Mixer in Blue                                                       ,624.98,0,0,0
LFXS26973S                    ,LG - 35.75 Inch 26.2 cu. ft French Door Refrigerator in Stainless                                   ,2394.96,0,2595,0
FGID2476SF                    ,Frigidaire Gallery - 50 dBA Built In Dishwasher in Stainless                                        ,894.99,0,0,0
IKE64441XB                    ,AEG - 22.7 inch wide Induction Cooktop in Black                                                     ,2090.98,0,0,0
KSM150PSIC                    ,KitchenAid - 5 Quarts Tilt-Head Mixer in Turquoise                                                  ,624.98,0,0,0
GTW331BMRWS                   ,GE - 4.4 cu. Ft  Top Load Washer in White                                                           ,599.98,664,0,0
HK955070FB                    ,AEG - 35.25 inch wide Electric Cooktop in Black                                                     ,2362.98,0,0,0
WM72200W                      ,Blomberg - 1.95 cu. Ft  Compact Washer in White                                                     ,999.99,0,0,0
T24UR900RP                    ,Thermador - 23.875 Inch 5.1 cu. ft Built In / Integrated Refrigerator in Panel Ready                ,4329.96,0,0,0
HEZ8TK36UC                    ,Bosch -  Range Legs in Black Stainless                                                              ,319.98,0,0,0
273623C                       ,Broan - Optional Top Cover for Downdraft in Black                                                   ,109.98,0,0,0
KUIX535HPS                    ,KitchenAid - 14.875 Inch 15 cu. ft Ice Maker Refrigerator in Stainless                              ,2495.98,2495,2495,0
WA50R5200AW                   ,Samsung - 5.8 cu. Ft  Top Load Washer in White                                                      ,844.98,845,0,0
PERFEKT INSERT-24             ,AEG - 23.625 Inch 300 CFM Blower & Insert Vent in Stainless                                         ,564.98,0,0,0
MOCR215-SS01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,3894.98,0,0,0
BU330WW                       ,Broan - 30 Inch 260 CFM Under Cabinet Range Vent in White                                           ,157.98,0,0,0
CPDI362SB                     ,Best - 34.38 Inch 1250 CFM Outdoor Range Hood Insert Vent in Stainless                              ,1929.98,0,0,0
ERLE130SS                     ,Broan - 30 Inch 600 CFM Under Cabinet Hood Vent in Stainless                                        ,819.98,0,0,0
CVA 7775                      ,Miele -  Built-In Coffee Maker in Stainless                                                         ,8599,0,0,0
PERFEKT GLIDE-36 REC          ,AEG - 31.625 Inch 300 CFM Under Cabinet Range Vent in Stainless                                     ,694.98,0,0,0
DC7784V.W                     ,Asko - Drying Cabinet in White                                                                      ,4729.98,0,0,0
FFFU16F2VW                    ,Frigidaire - 15.5 cu. Ft  Upright Freezer in White                                                  ,994.99,994,0,0
RW414765                      ,Gaggenau - 18 Inch 9.7 cu. ft Wine Fridge Refrigerator in Panel Ready                               ,11839,0,0,0
MLCL215-IS01B                 ,Marvel - 14.875 Inch Ice Maker in Panel Ready                                                       ,3954.98,0,0,0
LDP6797ST                     ,LG - 44 dBA Built In Dishwasher in Stainless                                                        ,994.98,0,0,0
